region_id	region_name	total-agricultural-and-fishery-workers	market-gardeners-and-crop-growers	market-oriented-animal-producers	market-oriented-crop-and-animal-producers	forestry-and-related-workers	fishery-workers-hunters-and-trappers	subsistence-agricultural-and-fishery-workers	subsistence-dairy-livestock-and-related-workers	activities-not-elsewhere-classified
total	District-Total	1672965.0	64.3	1.6	0.0	0.0	2.7	20.8	0.1	10.5
LK-11	Colombo	18470.0	45.8	7.1	0.0	0.0	9.2	22.6	0.7	14.6
LK-12	Gampaha	37142.0	51.4	6.2	0.1	0.0	19.1	10.3	0.5	12.4
LK-13	Kalutara	54749.0	42.4	2.5	0.0	0.0	3.6	38.6	0.2	12.7
LK-21	Kandy	88506.0	55.1	4.5	0.0	0.0	0.1	24.1	0.2	16.0
LK-22	Matale	61711.0	86.7	1.1	0.0	0.0	0.1	6.3	0.0	5.8
LK-23	Nuwara Eliya	171183.0	26.0	0.9	0.0	0.0	0.1	51.5	0.1	21.5
LK-31	Galle	93565.0	37.9	1.1	0.0	0.0	3.0	46.2	0.0	11.8
LK-32	Matara	88449.0	47.4	0.6	0.0	0.0	5.3	36.6	0.0	10.1
LK-33	Hambantota	68095.0	88.7	2.0	0.0	0.0	3.8	2.4	0.1	3.1
LK-52	Ampara	71505.0	75.6	0.8	0.0	0.0	3.9	0.1	0.1	19.4
LK-61	Kurunegala	166636.0	90.4	2.9	0.0	0.0	0.3	2.6	0.1	3.6
LK-62	Puttalam	58797.0	43.1	4.4	0.0	0.0	28.6	4.8	0.4	18.6
LK-71	Anuradhapura	149538.0	96.6	1.1	0.0	0.0	1.0	0.0	0.0	1.3
LK-72	Polonnaruwa	69769.0	95.8	0.5	0.0	0.0	1.5	0.0	0.0	2.1
LK-81	Badulla	162159.0	63.2	0.9	0.0	0.0	0.1	24.1	0.0	11.5
LK-82	Moneragala	87986.0	94.5	0.6	0.0	0.0	0.2	1.8	0.0	2.8
LK-91	Ratnapura	162334.0	53.8	0.4	0.0	0.0	0.1	34.1	0.0	11.7
LK-92	Kegalle	62371.0	43.0	1.4	0.0	0.0	0.1	39.7	0.1	15.7
