region_id	region_name	total-population	aged-00-14	aged-15-59	aged-60-and-over	dependency-ratio-total	dependency-ratio-young	dependency-ratio-old
total	District-Total	16929689	4449026	10916791	1563872	55.1	40.8	14.3
LK-11	Colombo	2251274	482280	1552727	216267	45.0	31.1	13.9
LK-12	Gampaha	2063684	476269	1392743	194672	48.2	34.2	14.0
LK-13	Kalutara	1066239	261436	684905	119898	55.7	38.2	17.5
LK-21	Kandy	1279028	342228	813307	123493	57.3	42.1	15.2
LK-22	Matale	441328	121130	281566	38632	56.7	43.0	13.7
LK-23	Nuwara Eliya	703610	202763	447858	52989	57.1	45.3	11.8
LK-31	Galle	990487	269614	604376	116497	63.9	44.6	19.3
LK-32	Matara	761370	211796	460668	88906	65.3	46.0	19.3
LK-33	Hambantota	526414	155132	322132	49150	63.4	48.2	15.3
LK-52	Ampara	592997	190021	368680	34296	60.8	51.5	9.3
LK-61	Kurunegala	1460215	374644	944570	141001	54.6	39.7	14.9
LK-62	Puttalam	709677	208612	449322	51743	57.9	46.4	11.5
LK-71	Anuradhapura	745693	215886	481220	48587	55.0	44.9	10.1
LK-72	Polonnaruwa	358984	101234	234863	22887	52.8	43.1	9.7
LK-81	Badulla	779983	231389	486842	61752	60.2	47.5	12.7
LK-82	Moneragala	397375	126542	246006	24827	61.5	51.4	10.1
LK-91	Ratnapura	1015807	278075	645972	91760	57.3	43.0	14.2
LK-92	Kegalle	785524	199975	499034	86515	57.4	40.1	17.3
