district,total_population,resident_since_birth,total_migrants,migrated_less_than_1_year,migrated_1_4_years,migrated_5_9_years,migrated_10_years_and_more,migration_duration_not_stated
Total,16929689,13532329,3397360,364648,652617,481947,1639044,259104
Colombo,2239696,1517117,722579,94122,161114,108793,305984,52566
Gampaha,2060470,1448241,612229,83331,154664,102170,235453,36611
Kalutara,1065635,881728,183907,21491,39594,31448,78565,12809
Kandy,1276202,1078530,197672,21784,41376,30117,91402,12993
Matale,439031,344400,94631,8412,15245,12596,52196,6182
Nuwara Eliya,702689,605163,97526,5978,14024,11589,54548,11387
Galle,989769,885411,104358,13392,21334,15168,45946,8518
Matara,760990,678288,82702,9509,17045,12725,36419,7004
Hambantota,525913,448664,77249,6886,12360,9538,42788,5677
Jaffna,1721,643,1078,265,328,229,104,152
Mannar,480,99,381,127,125,52,33,44
Vavuniya,912,178,734,121,308,117,106,82
Mullaitivu,106,26,80,13,23,20,14,10
Kilinochchi,66,20,46,3,5,8,16,14
Batticaloa,1495,860,635,212,100,70,136,117
Ampara,592596,488706,103890,6636,11796,12183,66535,6740
Trincomalee,1562,664,898,137,229,110,274,148
Kurunegala,1458385,1266821,191564,17659,36093,27914,97788,12110
Puttalam,709002,553167,155835,12772,22402,17994,91626,11041
Anuradhapura,742535,563992,178543,14240,23614,18126,111070,11493
Polonnaruwa,358804,219193,139611,8799,15231,15887,91410,8284
Badulla,778422,686415,92007,10029,15707,12156,45645,8470
Moneragala,396521,295879,100642,5316,11214,11115,67360,5637
Ratnapura,1016221,889945,126276,10090,19112,14793,72669,9612
Kegalle,784371,677473,106898,8854,18475,16151,49291,14127
