region_id,total_nea_pop,attending_school_pct,homemakers_pct,pensioners_ill_pct,unable_to_work_pct,other_nea_pct
Total,7413175,34.2,8.2,3.7,44.7,9.3
LK-11,974012,29.1,6.5,5.8,47.8,10.7
LK-12,903634,29.1,7.2,5.2,49.2,9.3
LK-13,485711,30.4,8.8,4.2,46.7,9.9
LK-21,598478,35.6,7.6,4.1,43.7,9.0
LK-22,192017,35.7,8.6,3.1,44.7,7.9
LK-23,265316,40.1,12.0,3.8,32.2,11.8
LK-31,454606,34.0,9.2,3.6,43.7,9.4
LK-32,350275,37.0,9.7,3.0,42.9,7.4
LK-33,240681,38.3,8.8,1.8,43.1,8.1
LK-53,279542,35.7,7.1,1.3,46.9,9.0
LK-61,651584,34.7,8.7,2.9,45.8,7.8
LK-62,317413,31.2,7.7,2.4,49.3,9.4
LK-71,298176,39.6,7.4,2.5,41.7,8.8
LK-72,145059,36.9,6.2,2.0,45.9,9.1
LK-81,307311,41.8,9.3,3.4,35.7,9.8
LK-82,159918,44.2,7.9,1.5,37.7,8.7
LK-91,427657,37.1,9.0,2.2,41.5,10.1
LK-92,361785,32.7,9.4,3.3,45.2,9.4
