district,total_households,using_pipe_water_no,using_pipe_water_pct,using_safe_water_no,using_safe_water_pct
Total,4054186,1089879,26.9,3316815,81.8
Colombo,493085,307322,62.3,470952,95.5
Gampaha,487184,108422,22.3,445432,91.4
Kalutara,250939,46495,18.5,210772,84.0
Kandy,299870,115022,38.4,244357,81.5
Matale,110886,24830,22.4,89249,80.5
Nuwara Eliya,169540,85586,50.5,115079,67.9
Galle,233027,44334,19.0,189283,81.2
Matara,177613,49703,28.0,137502,77.4
Hambantota,128008,42704,33.4,106758,83.4
Ampara,137741,13439,9.8,117669,85.4
Kurunegala,380213,14795,3.9,323114,85.0
Puttalam,176544,19899,11.3,159325,90.2
Anuradhapura,189699,18137,9.6,157565,83.1
Polonnaruwa,91718,10000,10.9,69041,75.3
Badulla,189925,71667,37.7,133391,70.2
Moneragala,96598,13472,13.9,61278,63.4
Ratnapura,245743,68415,27.8,150709,61.3
Kegalle,195853,35637,18.2,135339,69.1
